#ts True|True True|False False|True False|False
1700787600 41251 129 22107 434
1700788500 42844 13 22269 286
1700789400 41438 15 22099 264
1700790300 42997 16 22227 270
1700791200 41430 17 22141 279
1700792100 42928 14 22179 279
1700793000 41359 13 22114 262
1700793900 42946 12 22161 265
1700794800 41425 18 22092 269
1700795700 42878 13 22145 257
1700796600 41435 17 22124 267
1700797500 42947 15 22205 266
1700798400 41488 20 22124 266
1700799300 42933 16 22174 257
1700800200 41459 16 22082 266
1700801100 42980 30 22179 265
1700802000 41461 14 22107 246
1700802900 42854 12 22210 245
1700803800 41353 14 22110 246
1700804700 42826 12 22255 245
1700805600 40198 15 21776 262
1700806500 42772 15 22334 257
1700807400 41367 59 22099 326
1700808300 42941 51 22150 298
1700809200 41534 20 22066 278
1700810100 43610 14 21530 253
1700811000 42129 13 21409 254
1700811900 43573 79 21579 252
1700812800 42160 14 21410 261
1700813700 43408 36 21506 309
1700814600 42437 15 21062 266
1700815500 44469 19 20630 261
1700816400 44634 24 19083 270
1700817300 47137 23 18069 271
1700818200 46362 26 17138 273
1700819100 48204 22 17022 253
1700820000 46836 37 16763 256
1700820900 48354 24 16773 270
1700821800 46730 62 16697 341
1700822700 48914 16 16302 258
1700823600 47908 19 15636 251
1700824500 49684 15 15326 247
1700825400 48274 17 15260 250
1700826300 49883 16 15314 249
1700827200 47163 25 15032 261
1700828100 49594 21 15594 265
1700829000 48038 24 15511 259
1700829900 49506 16 15677 250
1700830800 48064 18 15557 249
1700831700 49519 19 15597 249
1700832600 47983 17 15540 247
1700833500 49457 18 15702 249
1700834400 47948 19 15600 257
1700835300 49187 16 15789 233
1700836200 47450 18 16069 237
1700837100 49037 19 16125 240
1700838000 47604 19 16008 239
1700838900 48900 19 16230 238
1700839800 47576 18 15943 240
1700840700 49409 15 15817 228
1700841600 48102 18 15495 240
1700842500 49592 16 15625 242
1700843400 48101 17 15437 239
1700844300 49804 16 15395 244
1700845200 48323 18 15261 238
1700846100 49818 16 15340 250
1700847000 48229 18 15276 241
1700847900 49811 20 15350 245
1700848800 47141 16 15020 238
1700849700 49739 18 15255 236
1700850600 48182 38 15213 262
1700851500 49803 15 15280 229
1700852400 48175 24 15284 250
1700853300 49643 19 15320 249
1700854200 48174 18 15261 253
1700855100 49687 17 15342 231
1700856000 48252 19 15298 234
1700856900 49672 16 15326 222
1700857800 48215 16 15222 237
1700858700 49759 15 15296 230
1700859600 48206 17 15269 234
1700860500 49717 16 15319 231
1700861400 48192 16 15250 240
1700862300 49738 17 15311 250
1700863200 48254 18 15332 268
1700864100 49820 20 15332 228
1700865000 48269 17 15260 239
1700865900 49847 14 15330 228
1700866800 48307 16 15276 231
1700867700 49741 19 15298 227
1700868600 48245 19 15217 236
1700869500 49735 16 15328 226
1700870400 46350 15 15076 234
1700871300 49492 18 15565 240
1700872200 47999 15 15407 236
1700873100 49606 16 15577 244
1700874000 48189 15 15425 230
1700874900 49583 17 15514 229
1700875800 48122 19 15381 310
1700876700 49638 14 15455 318
1700877600 48097 15 15425 242
1700878500 49724 61 15484 233
1700879400 48117 16 15330 227
1700880300 49745 14 15372 226
1700881200 48178 19 15320 232
1700882100 49664 14 15352 226
1700883000 48196 16 15332 239
1700883900 49781 15 15369 229
1700884800 48278 17 15350 236
1700885700 49716 17 15361 224
1700886600 48220 16 15325 242
1700887500 49769 17 15404 230
1700888400 48148 18 15368 240
1700889300 49522 16 15454 226
1700890200 48049 19 15411 231
1700891100 49579 16 15475 228
1700892000 46791 18 15222 238
1700892900 43652 15 14153 218
